"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"19/04/2020","6.553,7","6.693,8","6.700,0","6.510,5","-","-2,09%"
"12/04/2020","6.693,8","6.314,5","6.725,0","5.947,4","-","6,01%"
"05/04/2020","6.314,5","6.362,3","6.913,4","6.171,5","-","-0,75%"
"29/03/2020","6.362,3","5.621,8","6.645,0","5.267,6","-","13,17%"
"22/03/2020","5.621,8","5.817,9","6.470,0","5.345,8","-","-3,37%"
"15/03/2020","5.817,9","4.677,0","6.498,5","4.003,9","-","24,39%"
"08/03/2020","4.677,0","7.900,5","7.900,5","3.449,7","-","-40,80%"
"01/03/2020","7.900,5","7.750,0","8.200,0","7.600,0","-","1,94%"
"23/02/2020","7.750,0","8.910,4","9.255,1","7.681,0","-","-13,02%"
"16/02/2020","8.910,4","9.147,9","9.563,8","8.615,2","-","-2,75%"
"09/02/2020","9.162,8","9.072,4","9.710,0","8.823,5","-","1,00%"
"02/02/2020","9.072,4","8.459,0","9.100,0","8.220,0","-","7,25%"
"26/01/2020","8.459,0","7.560,0","8.671,1","7.520,0","-","11,81%"
"19/01/2020","7.565,5","8.041,6","8.278,6","7.450,1","-","-5,92%"
"12/01/2020","8.041,6","7.218,6","8.108,9","7.161,2","-","11,40%"
"05/01/2020","7.218,6","6.593,0","7.589,0","6.556,6","-","9,49%"
"29/12/2019","6.593,0","6.529,1","6.731,8","6.145,4","-","0,98%"
"22/12/2019","6.529,1","6.463,0","6.942,7","6.330,0","-","1,02%"
"15/12/2019","6.463,0","6.361,3","6.710,0","5.800,0","-","1,60%"
"08/12/2019","6.361,3","6.777,9","6.906,9","6.310,0","-","-6,15%"
"01/12/2019","6.777,9","6.875,8","7.022,0","6.402,1","-","-1,42%"
"24/11/2019","6.875,8","6.657,2","7.137,7","5.921,0","-","3,30%"
"17/11/2019","6.656,4","7.676,1","7.815,1","6.145,0","-","-13,37%"
"10/11/2019","7.683,4","8.000,1","8.270,0","7.585,0","-","-3,96%"
"03/11/2019","8.000,1","8.334,0","8.602,1","7.860,7","-","-4,01%"
"27/10/2019","8.334,0","8.337,0","8.961,8","8.025,0","-","-0,04%"
"20/10/2019","8.337,0","7.133,0","9.440,0","6.599,1","-","16,88%"
"13/10/2019","7.133,0","7.539,5","7.689,7","7.025,6","-","-5,39%"
"06/10/2019","7.539,5","7.437,7","8.010,1","7.088,4","-","1,37%"
"29/09/2019","7.437,7","7.519,2","7.830,5","7.055,3","-","-1,08%"
"22/09/2019","7.519,2","9.072,1","9.169,8","7.056,6","-","-17,12%"
"15/09/2019","9.072,1","9.360,5","9.400,0","8.723,2","-","-3,15%"
"08/09/2019","9.367,5","9.510,1","9.605,0","8.939,6","-","-1,50%"
"01/09/2019","9.510,1","8.765,5","9.928,7","8.703,1","-","8,49%"
"25/08/2019","8.765,5","9.118,0","9.575,0","8.421,0","-","-3,87%"
"18/08/2019","9.118,0","9.215,5","9.890,0","8.800,0","-","-1,06%"
"11/08/2019","9.215,5","10.089,7","10.341,0","8.500,0","-","-8,66%"
"04/08/2019","10.089,7","9.728,6","11.000,0","9.503,2","-","3,59%"
"28/07/2019","9.740,0","8.529,8","9.827,5","8.231,7","-","14,19%"
"21/07/2019","8.530,0","9.590,4","9.666,8","8.358,6","-","-11,06%"
"14/07/2019","9.590,4","10.121,3","10.180,0","8.090,0","-","-5,25%"
"07/07/2019","10.121,3","10.024,4","11.746,2","9.623,0","-","0,97%"
"30/06/2019","10.024,4","10.432,8","10.698,0","8.504,8","-","-3,91%"
"23/06/2019","10.432,8","9.378,4","12.195,0","9.010,2","-","11,24%"
